GRAN_CANAL,CANAL,CADENA,ROW_COUNT
CAM,*CENTRO AMÉRICA,EL SALVADOR,10368
CAM,*CENTRO AMÉRICA,GUATEMALA,19824
DTT,PROXIMITY,PROXIMITY,309888
DTT,SOCIOS COMERCIALES,SOCIOS COMERCIALES,33072
UTT,AUTOSERVICIOS,ALSEA,336
UTT,AUTOSERVICIOS,CALIMAX,20592
UTT,AUTOSERVICIOS,CASA LEY,60720
UTT,AUTOSERVICIOS,CHEDRAUI,60120
UTT,AUTOSERVICIOS,CITY FRESKO,64632
UTT,AUTOSERVICIOS,COSTCO,2184
UTT,AUTOSERVICIOS,HEB,52728
UTT,AUTOSERVICIOS,OTHER RETAIL,53760
UTT,AUTOSERVICIOS,S PRECIO - NETO,3528
UTT,AUTOSERVICIOS,SAMS,7296
UTT,AUTOSERVICIOS,SORIANA,56424
UTT,AUTOSERVICIOS,TIENDAS 3B,4464
UTT,AUTOSERVICIOS,WALMART,137568
UTT,CONVENIENCIA,OTHER CONVENIENCE,41640
UTT,CONVENIENCIA,OXXO,12384
UTT,MAYORISTAS,MAYORISTAS,33936
