RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
AGUAS FRESCAS,AGUAS FRESCAS,105,BRAND,SELL_OUT,AGUAS FRESCAS,DANONE,CONFIRMED
BEC,BEC,44,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DANONE,DANONE,283,BRAND,SELL_OUT,DANONE,DANONE,CONFIRMED
ADES,ADES,2,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NA,NA,2,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LEVITE,LEVITE,153,BRAND,SELL_OUT,LEVITE,DANONE,CONFIRMED
BONAFONT,BONAFONT,166,BRAND,SELL_OUT,BONAFONT,DANONE,CONFIRMED
HERSHEYS,HERSHEYS,3,BRAND,SELL_OUT,HERSHEYS,DANONE,CONFIRMED
BONAFONT SER,BONAFONT SER,6,BRAND,SELL_OUT,BONAFONT SER,DANONE,CONFIRMED
DANUP,DANUP,82,BRAND,SELL_OUT,DANUP,DANONE,CONFIRMED
BONAFONT MINERAL,BONAFONT MINERAL,5,BRAND,SELL_OUT,BONAFONT MINERAL,DANONE,CONFIRMED
FRUIX,FRUIX,12,BRAND,SELL_OUT,JUIZZY,DANONE,CONFIRMED
BENEGASTRO,BENEGASTRO,14,BRAND,SELL_OUT,BENEGASTRO,DANONE,CONFIRMED
BADOIT,BADOIT,5,BRAND,SELL_OUT,BADOIT,DANONE,CONFIRMED
OTROS,OTROS,11,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
DANY,DANY,55,BRAND,SELL_OUT,DANY,DANONE,CONFIRMED
EVIAN,EVIAN,43,BRAND,SELL_OUT,EVIAN,DANONE,CONFIRMED
VITALINEA,VITALINEA,80,BRAND,SELL_OUT,VITALINEA,DANONE,CONFIRMED
OCEAN SPRAY,OCEAN SPRAY,32,BRAND,SELL_OUT,OCEAN SPRAY,DANONE,CONFIRMED
DANONE FREE,DANONE FREE,5,BRAND,SELL_OUT,DANONE,DANONE,CONFIRMED
SO DELICIOUS,SO DELICIOUS,7,BRAND,SELL_OUT,SO DELICIOUS,DANONE,CONFIRMED
OIKOS,OIKOS,105,BRAND,SELL_OUT,OIKOS,DANONE,CONFIRMED
DANETTE,DANETTE,60,BRAND,SELL_OUT,DANETTE,DANONE,CONFIRMED
DELIGHT,DELIGHT,22,BRAND,SELL_OUT,DELIGHT,DANONE,CONFIRMED
INFINIT WATER,INFINIT WATER,3,BRAND,SELL_OUT,INFINIT,DANONE,CONFIRMED
YOPRO,YOPRO,13,BRAND,SELL_OUT,YOPRO,DANONE,CONFIRMED
LICUAMIX,LICUAMIX,3,BRAND,SELL_OUT,LICUAMIX,DANONE,CONFIRMED
DANONINO,DANONINO,136,BRAND,SELL_OUT,DANONINO,DANONE,CONFIRMED
INACTIVO,INACTIVO,2,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
TE BONAFONT,TE BONAFONT,3,BRAND,SELL_OUT,BONAFONT TE,DANONE,CONFIRMED
ACTIVIA,ACTIVIA,180,BRAND,SELL_OUT,ACTIVIA,DANONE,CONFIRMED
CHILCHOTA,CHILCHOTA,19,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SILK,SILK,148,BRAND,SELL_OUT,SILK,DANONE,CONFIRMED
BONAFONT KIDS,BONAFONT KIDS,71,BRAND,SELL_OUT,BONAFONT KIDS,DANONE,CONFIRMED
JUIZZY,JUIZZY,35,BRAND,SELL_OUT,JUIZZY,DANONE,CONFIRMED
DANMIX,DANMIX,17,BRAND,SELL_OUT,DANMIX,DANONE,CONFIRMED
PUREZA AGA,PUREZA AGA,9,BRAND,SELL_OUT,PUREZA AGA,DANONE,CONFIRMED
STOK COLD BREW,STOK COLD BREW,1,BRAND,SELL_OUT,STOK,DANONE,CONFIRMED
OIKOS UHT,OIKOS UHT,2,BRAND,SELL_OUT,OIKOS,DANONE,CONFIRMED
DANFRUT,DANFRUT,4,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LIGERI,LIGERI,2,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MEMBERS MARK,MEMBERS MARK,3,BRAND,SELL_OUT,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
