COLUMN_NAME,DATA_TYPE
CBU,TEXT
SAL_ORG_COD,TEXT
CUS_ACC_GRP_COD,TEXT
CUS_IDT,TEXT
CUS_NAM_DSC,TEXT
CUS_GRN_CHL_DSC,TEXT
CUS_GRN_CHL_ANT_DSC,TEXT
CUS_CHL_DSC,TEXT
CUS_CHL_ANT_DSC,TEXT
CBU_DIS_GRP_COD,TEXT
CUS_IND_COD,TEXT
CUS_IND_DSC,TEXT
CUS_1ST_IND_COD,TEXT
CUS_1ST_IND_DSC,TEXT
CUS_2ND_IND_COD,TEXT
CUS_2ND_IND_DSC,TEXT
CUS_3RD_IND_COD,TEXT
CUS_3RD_IND_DSC,TEXT
CUS_4TH_IND_COD,TEXT
CUS_4TH_IND_DSC,TEXT
CUS_5TH_IND_COD,TEXT
CUS_5TH_IND_DSC,TEXT
DIS_CHL_COD,TEXT
DIS_CHL_DSC,TEXT
CUS_CHL_ARE_DSC,TEXT
CUS_SAL_RGN_DSC,TEXT
CUS_SAL_PLT_COD,TEXT
CUS_SAL_PLT_DSC,TEXT
CUS_SAL_PLT_PLAZA,TEXT
PLT_TYP_COD,TEXT
CUS_PRC_LIS_TYP_COD,TEXT
PXY_CAT_1ST_COD,TEXT
PXY_CAT_1ST_DSC,TEXT
PXY_CAT_2ND_COD,TEXT
PXY_CAT_2ND_DSC,TEXT
CLU_SHT_DSC,TEXT
CUS_ABC_CLS_COD,TEXT
CUS_SAL_OFI_COD,TEXT
CUS_SAL_OFI_DSC,TEXT
CUS_SAL_GRP_COD,TEXT
CUS_SAL_GRP_DSC,TEXT
CUS_SAL_RGN_COD,TEXT
CUS_NIE_COD,TEXT
CUS_IND_KEY_COD,TEXT
CUS_IND_KEY_DSC,TEXT
CUS_1ST_TAX_COD,TEXT
CTECAD_RAZONSOCIAL,TEXT
ITM_PRP_COD,TEXT
PRV_CUS_COD,TEXT
CUS_ADR_CTY_DSC,TEXT
CUS_ADR_CTY_PST_COD,TEXT
CUS_ADR_RGN_COD,TEXT
CUS_ADR_RGN_DSC,TEXT
CUS_ADR_STR_DSC,TEXT
CUS_ADR_STR_TOP_1ST_DSC,TEXT
CUS_ADR_STR_TOP_2ND_DSC,TEXT
CUS_LCT_LGD_VAL,NUMBER
CUS_LCT_LTD_VAL,NUMBER
CUS_BIL_BLK_COD,TEXT
CUS_DEL_BLK_COD,TEXT
CUS_ORD_BLK_COD,TEXT
CUS_DLT_FLG,TEXT
CUS_SAL_BIL_BLK_COD,TEXT
CUS_SAL_DEL_BLK_COD,TEXT
CUS_SAL_DLT_FLG,TEXT
CUS_SAL_ORD_BLK_COD,TEXT
LV4_HIE_CUS_IDT,TEXT
LV4_HIE_CUS_DSC,TEXT
LV5_HIE_CUS_IDT,TEXT
LV5_HIE_CUS_DSC,TEXT
LV6_HIE_CUS_IDT,TEXT
LV6_HIE_CUS_DSC,TEXT
PTR_1ST_CUS_IDT,TEXT
PTR_1ST_CUS_DSC,TEXT
PTR_2ND_CUS_IDT,TEXT
PTR_3RD_CUS_IDT,TEXT
PTR_4TH_CUS_IDT,TEXT
PTR_4TH_CUS_DSC,TEXT
PTR_5TH_CUS_IDT,TEXT
PTR_5TH_CUS_DSC_SAP,TEXT
PTR_5TH_CUS_DSC,TEXT
PTR_6TH_CUS_IDT,TEXT
PTR_6TH_CUS_DSC_SAP,TEXT
PTR_6TH_CUS_DSC,TEXT
PTR_7TH_CUS_IDT,TEXT
PTR_7TH_CUS_DSC_SAP,TEXT
PTR_7TH_CUS_DSC,TEXT
PTR_8TH_CUS_IDT,TEXT
CUS_GRP_1ST_COD,TEXT
CUS_GRP_1ST_DSC,TEXT
CUS_GRP_2ND_COD,TEXT
CUS_GRP_2ND_DSC,TEXT
CUS_GRP_3RD_COD,TEXT
CUS_GRP_3RD_DSC,TEXT
CUS_GRP_4TH_COD,TEXT
CUS_GRP_4TH_DSC,TEXT
CUS_GRP_5TH_COD,TEXT
CUS_GRP_5TH_DSC,TEXT
CUS_GRP_COD,TEXT
CUS_GRP_DSC,TEXT
CUS_GROUP_PROMO,TEXT
CUS_PROCE,NUMBER
CUS_PROCE_DSC,TEXT
CUS_TYP_COD,NUMBER
CUS_TYP_DSC,TEXT
CHL_CSL_DSC,TEXT
CHN_CSL_DSC,TEXT
CHN_FMT_DSL_DSC,TEXT
CUS_CHN_ID,TEXT
CUS_CHN_DSC,TEXT
CUS_SLS_MNG_DSC,TEXT
CUS_SLS_TEAM_LDR_DSC,TEXT
CUS_X_DOC_FINAL,TEXT
CUS_PLT_DEL_EXT,TEXT
CUS_TYP_DEL_PNT,TEXT
CUS_DIS_EXT,TEXT
ADR_STR_NUM,TEXT
ADR_STR_ADD_NUM,TEXT
ADR_RGN_DSC,TEXT
TEL_NUM,TEXT
TEL_NUM2,TEXT
CUS_DFT_PAY_MET_COD,TEXT
EML_COD,TEXT
CUS_FIS_ADR,TEXT
CUS_CRE_DAT,TEXT
CUS_END_DAT,TEXT
STAT_COD,TEXT
T_REC_CRE_DAT,TIMESTAMP_TZ
CUS_UNI_COD,NUMBER
CUS_CSL_GRP,TEXT
CUS_CHL_DSC_EXT,TEXT
CUS_GRN_CHL_DSC_EXT,TEXT
CUS_CHN_UNI_DSC_EXT,TEXT
CUS_CHL_ARE_DSC_EXT,TEXT
CUS_SAL_RGN_DSC_EXT,TEXT
CUS_SAL_BLK_COD,TEXT
CUS_SAL_ORD_BLK_FLG,TEXT
CUS_ATT_8TH_COD,TEXT
CUS_CADENA_IDT,TEXT
CUS_CADENA_DSC,TEXT
CUS_PRC_PRO_COD,TEXT
